GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HotelTremvago,com.HotelTremvago.HotelTremvago.entities,ReservaStatus,0,21,0,0,0,4,0,1,0,1
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,TipoQuartoController,0,93,0,0,0,21,0,6,0,6
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,QuartoController,7,109,0,2,2,24,0,7,0,6
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,UsuarioController,0,98,0,2,0,22,0,6,0,5
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,ReservaController,21,84,0,4,6,19,0,6,0,4
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,HospedeController,0,93,0,0,0,21,0,6,0,6
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,HotelController,7,127,0,2,2,28,0,8,0,7
HotelTremvago,com.HotelTremvago.HotelTremvago.controllers,CidadeController,47,92,0,0,13,18,0,8,0,8
HotelTremvago,com.HotelTremvago.HotelTremvago.services,HotelService,45,91,2,2,11,20,4,7,2,7
HotelTremvago,com.HotelTremvago.HotelTremvago.services,UsuarioService,6,104,0,0,0,29,1,6,1,6
HotelTremvago,com.HotelTremvago.HotelTremvago.services,CidadeService,78,76,3,1,23,21,3,9,1,9
HotelTremvago,com.HotelTremvago.HotelTremvago.services,ReservaService,304,246,28,6,54,55,25,13,10,11
HotelTremvago,com.HotelTremvago.HotelTremvago.services,HospedeService,30,46,0,0,9,13,0,6,0,6
HotelTremvago,com.HotelTremvago.HotelTremvago.services,QuartoService,102,129,6,10,25,27,10,7,5,4
HotelTremvago,com.HotelTremvago.HotelTremvago.services,TipoQuartoService,90,3,0,0,22,1,6,1,6,1
HotelTremvago,com.HotelTremvago.HotelTremvago,HotelTremvagoApplication,5,3,0,0,2,1,1,1,1,1
